19980,0,20,0
9979,10003,15,3
5388,13939,359,314
5110,9205,3017,2668
5149,5885,4013,4953
4650,5084,3689,6577
5143,4381,2684,7792
5375,4202,1732,8691
5378,4256,1159,9207
5256,4158,1128,9458
5329,4005,1102,9564
5239,3888,1259,9614
5372,3818,1233,9577
5446,3744,1248,9562
5583,3692,1167,9558
5747,3567,1153,9533
5858,3542,1084,9516
5891,3582,1011,9516
5933,3527,1047,9493
5965,3546,1021,9468
6032,3459,1092,9417
6103,3386,1088,9423
6231,3322,1054,9393
6292,3307,1005,9396
6238,3343,1064,9355
6263,3323,1076,9338
6429,3240,1010,9321
6456,3249,989,9306
6559,3161,977,9303
6571,3146,1007,9276
6495,3210,1038,9257
6666,3084,1015,9235
6735,3056,978,9231
6770,3020,996,9214
6831,2998,956,9215
6874,3014,939,9173
6977,2903,945,9175
7091,2775,965,9169
7149,2740,953,9158
7112,2805,951,9132
7218,2771,900,9111
7265,2792,855,9088
7261,2784,882,9073
7299,2758,905,9038
7399,2735,841,9025
7459,2678,855,9008
7588,2523,890,8999
7600,2528,876,8996
7618,2549,863,8970
7634,2546,860,8960
7690,2530,832,8948
7720,2513,825,8942
7793,2438,842,8927
7758,2467,827,8948
7839,2438,795,8928
7872,2419,790,8919
7931,2397,785,8887
8032,2323,779,8866
8107,2312,751,8830
8164,2241,806,8789
8179,2264,775,8782
8221,2219,793,8767
8206,2269,785,8740
8261,2208,791,8740
8337,2190,752,8721
8425,2160,722,8693
8423,2126,761,8690
8492,2133,723,8652
8495,2144,718,8643
8519,2146,718,8617
8586,2076,714,8624
8613,2029,758,8600
8658,2035,717,8590
8728,1980,720,8572
8710,1992,724,8574
8786,1940,697,8577
8844,1938,660,8558
8889,1963,621,8527
8950,1905,645,8500
8964,1880,663,8493
9014,1848,644,8494
9069,1802,659,8470
9049,1812,694,8445
9102,1820,666,8412
9190,1758,667,8385
9216,1787,620,8377
9242,1795,605,8358
9331,1717,596,8356
9321,1711,642,8326
9369,1735,592,8304
9374,1747,586,8293
9458,1674,590,8278
9497,1655,583,8265
9474,1688,597,8241
9520,1681,576,8223
9569,1634,597,8200
9594,1605,618,8183
9565,1647,619,8169
9627,1644,571,8158
9704,1584,563,8149
9706,1549,598,8147
9752,1565,536,8147
9730,1560,570,8140
9793,1546,564,8097
9829,1519,567,8085
9845,1514,554,8087
9905,1494,526,8075
9893,1486,553,8068
9904,1498,536,8062
9909,1478,541,8072
10012,1383,539,8066
10074,1343,524,8059
10049,1388,511,8052
10084,1407,485,8024
10173,1332,499,7996
10161,1337,515,7987
10226,1329,519,7926
10209,1352,531,7908
10253,1370,476,7901
10280,1349,490,7881
10345,1267,525,7863
10312,1349,495,7844
10404,1323,456,7817
10440,1291,474,7795
10497,1290,465,7748
10476,1309,473,7742
10533,1262,469,7736
10499,1275,481,7745
10501,1277,473,7749
10542,1260,457,7741
10533,1294,467,7706
10565,1295,459,7681
10627,1276,458,7639
10667,1243,473,7617
10746,1189,460,7605
10757,1175,436,7632
10772,1207,427,7594
10759,1240,422,7579
10773,1225,434,7568
10768,1232,436,7564
10797,1212,431,7560
10812,1210,421,7557
10862,1164,447,7527
10874,1156,456,7514
10881,1150,467,7502
10922,1148,449,7481
10980,1145,417,7458
11024,1118,424,7434
10991,1172,403,7434
11003,1160,426,7411
10991,1147,442,7420
11094,1082,415,7409
11138,1061,400,7401
11162,1037,411,7390
11192,1044,391,7373
11256,1005,398,7341
11280,1008,382,7330
11296,1066,350,7288
11299,1058,362,7281
11319,1042,395,7244
11343,1068,354,7235
11345,1048,381,7226
11312,1043,412,7233
11375,1008,413,7204
11404,1006,393,7197
11481,985,378,7156
11503,987,360,7150
11534,979,353,7134
11612,924,352,7112
11648,904,357,7091
11596,983,356,7065
11592,978,353,7077
11616,954,360,7070
11603,983,347,7067
11573,1013,349,7065
11564,965,388,7083
11575,947,377,7101
11555,988,389,7068
11596,997,349,7058
11650,934,362,7054
11675,918,369,7038
11699,906,379,7016
11708,935,329,7028
11694,913,360,7033
11781,888,354,6977
11818,887,324,6971
11785,934,322,6959
11803,921,330,6946
11815,907,324,6954
11859,895,318,6928
11869,883,349,6899
11832,943,340,6885
11827,969,338,6866
11839,953,354,6854
11855,939,354,6852
11909,877,365,6849
12001,827,341,6831
12023,844,326,6807
12021,901,272,6806
12035,877,293,6795
12040,851,314,6795
12012,883,305,6800
12037,849,327,6787
12076,835,324,6765
12103,826,336,6735
12149,795,340,6716
12206,768,347,6679
12212,811,296,6681
12271,793,281,6655
12284,786,303,6627
12280,801,315,6604
12262,848,294,6596
